,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sola,-13.88,167.55,80.6,88,75,19.04,VU,1602518561
1,saldanha,-33.01,17.94,71.6,35,61,12.75,ZA,1602518374
2,inhambane,-23.86,35.38,69.8,68,75,2.24,MZ,1602518410
3,zemio,5.03,25.14,75.67,83,100,1.77,CF,1602518517
4,manado,1.49,124.85,77.0,94,20,3.67,ID,1602518561
5,poronaysk,49.22,143.12,52.48,97,100,0.72,RU,1602518561
6,beian,63.66,9.57,48.2,81,75,11.41,NO,1602518561
7,severo-kurilsk,50.68,156.12,45.57,79,91,12.12,RU,1602518561
8,camacha,33.08,-16.33,73.4,69,20,16.11,PT,1602518417
9,rikitea,-23.12,-134.97,74.12,75,32,14.27,PF,1602518365
10,busselton,-33.65,115.33,55.99,90,59,12.66,AU,1602518367
11,port alfred,-33.59,26.89,64.49,71,19,19.86,ZA,1602518366
12,adrar,20.5,-10.07,95.59,24,29,12.28,MR,1602518366
13,puerto ayora,-0.74,-90.35,75.2,73,40,20.8,EC,1602518388
14,fougamou,-1.22,10.58,78.58,90,57,4.14,GA,1602518562
15,copiapo,-27.37,-70.33,62.6,59,40,4.7,CL,1602518326
16,oume,35.78,139.24,66.2,93,1,4.7,JP,1602518562
17,birin,26.89,88.07,77.0,94,20,2.68,NP,1602518562
18,punta arenas,-53.15,-70.92,44.6,87,90,10.29,CL,1602518368
19,faanui,-16.48,-151.75,78.12,80,8,15.1,PF,1602518370
20,qaqortoq,60.72,-46.03,53.6,40,75,9.17,GL,1602518429
21,victoria,22.29,114.16,81.0,81,77,24.92,HK,1602518142
22,pokrovsk,48.28,37.18,63.03,61,1,1.54,UA,1602518563
23,bubaque,11.28,-15.83,84.49,67,100,6.58,GW,1602518563
24,jamestown,42.1,-79.24,61.0,93,90,13.87,US,1602518200
25,rio gallegos,-51.62,-69.22,55.4,42,75,23.04,AR,1602518401
26,paulo afonso,-9.41,-38.21,98.13,19,0,9.71,BR,1602518563
27,maciel,-32.46,-60.89,73.99,37,0,13.87,AR,1602518563
28,hobart,-42.88,147.33,54.0,81,90,21.92,AU,1602518234
29,denpasar,-8.65,115.22,78.8,100,75,9.17,ID,1602518366
30,cape town,-33.93,18.42,73.4,23,82,16.11,ZA,1602518323
31,nikolskoye,59.7,30.79,48.99,87,40,2.24,RU,1602518375
32,tamuin,21.98,-98.75,81.5,82,92,2.91,MX,1602518563
33,tuktoyaktuk,69.45,-133.04,23.0,62,90,13.87,CA,1602518368
34,new norfolk,-42.78,147.06,54.0,70,100,4.0,AU,1602518374
35,aasiaat,68.71,-52.87,35.19,85,58,7.72,GL,1602518564
36,bocas del toro,9.33,-82.25,77.0,41,77,4.0,PA,1602518564
37,mataura,-46.19,168.86,38.43,95,37,0.69,NZ,1602518368
38,port hedland,-20.32,118.57,77.0,57,0,6.93,AU,1602518564
39,avarua,-21.21,-159.78,69.8,94,97,5.82,CK,1602518383
40,riverton,40.52,-111.94,55.4,35,1,16.11,US,1602518564
41,bandar,2.05,99.75,75.47,89,100,2.17,ID,1602518564
42,ushuaia,-54.8,-68.3,50.0,43,90,16.11,AR,1602518191
43,shalinskoye,55.72,93.76,29.89,97,99,4.99,RU,1602518564
44,itarema,-2.92,-39.92,87.62,52,3,18.16,BR,1602518399
45,bathsheba,13.22,-59.52,87.8,70,20,14.99,BB,1602518377
46,port lincoln,-34.73,135.87,57.52,94,2,8.75,AU,1602518188
47,chokurdakh,70.63,147.92,17.51,98,96,2.37,RU,1602518370
48,yellowknife,62.46,-114.35,30.99,92,90,18.34,CA,1602518073
49,dikson,73.51,80.55,32.54,87,100,17.0,RU,1602518369
50,ternate,0.8,127.4,81.55,78,97,8.46,ID,1602518565
51,coquimbo,-29.95,-71.34,53.6,93,90,8.05,CL,1602518295
52,beohari,24.05,81.38,76.93,86,81,5.3,IN,1602518565
53,tautira,-17.73,-149.15,77.0,69,20,6.93,PF,1602518386
54,bethel,41.37,-73.41,48.2,93,90,9.17,US,1602518141
55,taoudenni,22.68,-3.98,104.45,10,18,1.1,ML,1602518389
56,koygorodok,60.45,51.0,45.27,70,100,7.83,RU,1602518566
57,berlevag,70.86,29.09,41.0,93,75,16.11,NO,1602518422
58,mount gambier,-37.83,140.77,53.6,93,90,9.17,AU,1602518389
59,vaini,-21.2,-175.2,71.6,78,20,10.29,TO,1602518370
60,thompson,55.74,-97.86,37.4,82,75,12.75,CA,1602518365
61,banjarmasin,-3.32,114.59,78.8,88,40,5.82,ID,1602518566
62,butaritari,3.07,172.79,81.5,75,40,15.17,KI,1602518370
63,okulovka,58.4,33.29,50.67,95,100,4.45,RU,1602518566
64,lavrentiya,65.58,-171.0,31.68,92,100,13.22,RU,1602518376
65,pevek,69.7,170.31,25.36,95,100,10.78,RU,1602518379
66,touros,-5.2,-35.46,87.8,52,40,17.22,BR,1602518567
67,havre-saint-pierre,50.23,-63.6,44.6,56,1,16.11,CA,1602518397
68,dillon,34.42,-79.37,77.0,83,90,4.7,US,1602518567
69,albany,42.6,-73.97,54.0,54,98,10.42,US,1602518153
70,hamilton,39.18,-84.53,69.01,88,90,6.93,US,1602518567
71,chengzihe,45.33,131.07,35.58,78,0,5.7,CN,1602518567
72,bredasdorp,-34.53,20.04,71.6,40,95,18.34,ZA,1602518297
73,killybegs,54.63,-8.45,51.8,87,75,19.46,IE,1602518567
74,santa vitoria do palmar,-33.52,-53.37,61.27,70,98,11.23,BR,1602518411
75,hermanus,-34.42,19.23,64.0,74,94,5.01,ZA,1602518373
76,carnarvon,-24.87,113.63,68.0,94,40,19.46,AU,1602518369
77,ariquemes,-9.91,-63.04,103.62,26,2,2.84,BR,1602518398
78,khatanga,71.97,102.5,26.83,98,98,13.8,RU,1602518375
79,codrington,-38.27,141.97,55.17,93,54,9.08,AU,1602518420
80,kapaa,22.08,-159.32,75.2,88,1,5.82,US,1602518366
81,bluff,-46.6,168.33,45.18,76,21,5.41,NZ,1602518366
82,cherskiy,68.75,161.3,18.55,90,38,8.93,RU,1602518369
83,melk,48.23,15.33,48.99,84,100,4.5,AT,1602518568
84,saint-philippe,-21.36,55.77,75.2,78,10,10.29,RE,1602518373
85,watertown,42.37,-71.18,55.4,62,90,17.22,US,1602518284
86,ilulissat,69.22,-51.1,33.8,64,75,2.24,GL,1602518434
87,komsomolskiy,40.43,71.72,53.6,62,0,6.93,UZ,1602518383
88,te anau,-45.42,167.72,41.4,89,66,1.32,NZ,1602518383
89,mar del plata,-38.0,-57.56,59.0,82,40,9.17,AR,1602518202
90,kankon,15.02,74.02,75.2,100,75,3.36,IN,1602518569
91,grindavik,63.84,-22.43,44.6,87,75,12.75,IS,1602518387
92,mugur-aksy,50.35,90.5,27.81,87,100,4.45,RU,1602518569
93,saint george,37.1,-113.58,57.2,28,1,5.82,US,1602518162
94,provideniya,64.38,-173.3,31.75,92,96,9.28,RU,1602518369
95,airai,-8.93,125.41,59.92,94,80,2.84,TL,1602518381
96,hoquiam,46.98,-123.89,55.99,71,1,6.93,US,1602518378
97,frutal,-20.02,-48.94,95.18,26,59,5.61,BR,1602518569
98,kenai,60.55,-151.26,37.0,93,90,3.36,US,1602518569
99,ponta do sol,32.67,-17.1,75.2,60,20,21.92,PT,1602518391
100,caraballeda,10.61,-66.85,81.0,53,24,4.63,VE,1602518570
101,novovarshavka,54.17,74.69,50.56,84,100,12.84,RU,1602518375
102,ugoofaaru,5.67,73.0,83.48,77,100,21.25,MV,1602518570
103,husavik,66.04,-17.34,48.2,61,33,12.75,IS,1602518379
104,novopokrovka,49.84,36.55,59.0,93,75,4.47,UA,1602518570
105,saskylakh,71.92,114.08,14.04,94,95,8.93,RU,1602518382
106,ribeira grande,38.52,-28.7,71.6,64,75,10.29,PT,1602518374
107,tura,25.52,90.22,74.39,90,0,2.46,IN,1602518371
108,longyearbyen,78.22,15.64,24.8,58,75,8.05,SJ,1602518373
109,deputatskiy,69.3,139.9,9.3,96,9,1.5,RU,1602518570
